L,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
850,SkKielWarsz1,PL0793A,"Kielce, ul. Warszawska 108",,1/1/2021,,communication,urban,container,ŚWIĘTOKRZYSKIE,Kielce,ul. Warszawska 108,50.886014,20.642858,Kielce
851,SkKielWarsza,PL0653A,"Kielce, ul. Warszawska 210",,9/29/2015,,background,urban,dust collector,ŚWIĘTOKRZYSKIE,Kielce,ul. Warszawska 210,50.894374,20.657988,Kielce
852,SkKonsGranatMOB,PL0697A,"Końskie, MOBILNA",SkKonsGranatMOB,1/1/2018,12/31/2018,background,urban,mobile,ŚWIĘTOKRZYSKIE,Końskie,ul. ks. Józefa Granata,51.189524,20.408892,powiat konecki
853,SkKonskArmKr,PL0439A,WSSE Końskie ul. Armii Krajowej,SkKonskArmKr,1/5/1994,12/31/2009,background,urban,in-house,ŚWIĘTOKRZYSKIE,Końskie,ul. Armii Krajowej 22,51.197886,20.412946,powiat konecki
854,SkMalo11List,PL0596A,"Małogoszcz, ul. 11 Listopada",SkMalogCemen3,1/1/2013,7/12/2017,background,urban,in-house,ŚWIĘTOKRZYSKIE,Małogoszcz,ul. 11 Listopada,50.808305,20.271141,powiat jędrzejowski
855,SkMalogCemen,,Małogoszcz Cementownia,SkMalogCemen,1/1/2003,3/1/2009,background,nonurban,in-house,ŚWIĘTOKRZYSKIE,Małogoszcz,Oczyszczalnia Ścieków Komunalnych,50.827467,20.288276,powiat jędrzejowski
856,SkMalogCemen2,PL0525A,"Małogoszcz, ul. 11 Listopada_cem2",SkMalogCemen2,1/1/2010,12/31/2012,background,urban,in-house,ŚWIĘTOKRZYSKIE,Małogoszcz,ul. 11 Listopada,50.808311,20.271165,powiat jędrzejowski
857,SkMaloSlonec,PL0698A,"Małogoszcz, ul. Słoneczna",SkMaloSlonec,10/1/2017,,background,urban,container,ŚWIĘTOKRZYSKIE,Małogoszcz,ul. Słoneczna 18,50.809563,20.266099,powiat jędrzejowski
858,SKNowinyCemen,PL0284A,Nowiny,SKNowinyCemen,2/11/2004,3/1/2009,industrial,nonurban,container,ŚWIĘTOKRZYSKIE,Sitkówka Nowiny,ul. Przemysłowa 32,50.803894,20.543278,powiat kielecki
859,SkNowiParkow,PL0563A,"Nowiny, ul. Parkowa",,1/1/2010,,background,suburban,container,ŚWIĘTOKRZYSKIE,Nowiny,ul. Parkowa,50.823108,20.533506,powiat kielecki
860,SkOpatPartyz,PL0794A,"Opatów, ul. Partyzantów",,1/1/2021,,background,urban,mobile,ŚWIĘTOKRZYSKIE,Opatów,ul. Partyzantów 13 b,50.798077,21.425467,powiat opatowski
861,SkOstrOsSlonMOB,PL0724A,"Ostrowiec Świętokrzyski, MOBILNA",SkOstrOsSlonMOB,1/1/2020,12/31/2020,background,urban,mobile,ŚWIĘTOKRZYSKIE,Ostrowiec Świętokrzyski,Osiedle Słoneczne 28,50.946703,21.394492,powiat ostrowiecki
862,SkOstrowKatD,,Ostrowiec Św. Kąty Denkowskie,SkOstrowKatD,7/1/1999,12/31/2005,industrial,suburban,in-house,ŚWIĘTOKRZYSKIE,Ostrowiec Świętokrzyski,ul. Kąty Denkowskie,50.945917,21.462007,powiat ostrowiecki
863,SkOstrowOsSl,,WSSE Ostrowiec Świętokrzyski Os. Słoneczne,SkOstrowOsSl,1/3/1994,12/31/2007,background,urban,in-house,ŚWIĘTOKRZYSKIE,Ostrowiec Świętokrzyski,os. Słoneczne 43,50.945938,21.389985,powiat ostrowiecki
864,SkOstrowSams,PL0285A,Ostrowiec Świętokrzyski ul. Samsonowicza,SkOstrowSams,7/1/1999,2/1/2009,industrial,suburban,in-house,ŚWIĘTOKRZYSKIE,Ostrowiec Świętokrzyski,ul. Samsonowicza 2,50.948629,21.433543,powiat ostrowiecki
865,SkOstrowWios,,"WIOŚ Ostrowiec Świętokrzyski, os. Słoneczne",SkOstrowWios,12/14/2004,12/31/2007,background,urban,in-house,ŚWIĘTOKRZYSKIE,Ostrowiec Świętokrzyski,os. Słoneczne 43,50.945942,21.390117,powiat ostrowiecki
866,SkOzarOsWzgo,PL0564A,"Ożarów, os. Wzgórze",,1/1/2012,,background,urban,dust collector,ŚWIĘTOKRZYSKIE,Ożarów,os. Wzgórze 52,50.887132,21.660726,powiat opatowski
867,SkOzarowMiec,PL0286A,Mieczysławów,SkOzarowMiec,1/1/1993,12/31/2011,background,nonurban,in-house,ŚWIĘTOKRZYSKIE,Mieczysławów,ul. Mieczysławów 14,50.947775,21.729241,powiat opatowski
868,SkOzarowOsWz,PL0287A,Ożarów Os. Wzgórze,SkOzarowOsWz,1/1/1993,12/31/2011,background,suburban,container,ŚWIĘTOKRZYSKIE,Ożarów,ul. Leśna 26,50.893171,21.655157,powiat opatowski
869,SkPolaRuszcz,PL0565A,"Połaniec, ul. Ruszczańska",,1/1/2012,,background,urban,container,ŚWIĘTOKRZYSKIE,Połaniec,ul. Ruszczańska 23,50.429014,21.277367,powiat staszowski
870,SkSandomMac,PL0440A,WSSE Sandomierz ul. Maciejowskiego,SkSandomMac,1/3/2000,12/31/2009,background,urban,in-house,ŚWIĘTOKRZYSKIE,Sandomierz,ul. Maciejowskiego 17,50.685,21.729167,powiat sandomierski
871,SkSandZielnaMOB,PL0795A,"Sandomierz, MOBILNA",,1/1/2021,12/31/2021,background,urban,mobile,ŚWIĘTOKRZYSKIE,Sandomierz,ul. Zielna 7,50.686423,21.7291,powiat sandomierski
872,SkSkarZielnaMOB,PL0731A,"Skarżysko-Kamienna, MOBILNA",SkSkarZielnaMOB,1/1/2019,12/31/2019,background,urban,mobile,ŚWIĘTOKRZYSKIE,Skarżysko-Kamienna,ul. Zielna 27,51.1211,20.880631,powiat skarżyski
873,SkSkarzSlow,PL0441A,WSSE Skarżysko-Kamienna ul. Słowackiego,SkSkarzSlow,1/3/1994,12/31/2009,background,urban,in-house,ŚWIĘTOKRZYSKIE,Skarżysko-Kamienna,ul. Słowackiego 25,51.114444,20.866111,powiat skarżyski
874,SkSolecZdroj,PL0680A,Solec-Zdrój,,1/1/2017,,background,suburban,dust collector,ŚWIĘTOKRZYSKIE,Solec Zdrój,,50.358659,20.886184,powiat buski
875,SkStaracMur,PL0442A,WSSE Starachowice ul. Murarska,SkStaracMur,1/3/1994,12/31/2009,background,urban,in-house,ŚWIĘTOKRZYSKIE,Starachowice,ul. Murarska 14,51.050517,21.092158,powiat starachowicki
876,SkStaracZlota,,"WIOŚ Starachowice, ul. Złota",SkStaracZlota,12/14/2004,12/31/2007,background,urban,in-house,ŚWIĘTOKRZYSKIE,Starachowice,ul. Złota 6,51.05048,21.084699,powiat starachowicki
877,SkStaraZlota,PL0566A,"Starachowice, ul. Złota",,1/1/2012,,background,urban,container,ŚWIĘTOKRZYSKIE,Starachowice,ul. Złota,51.050611,21.084175,powiat starachowicki
878,SkSwietKrzyz,PL0443A,Stacja ZMŚP UJK w Kielcach,SkSwKrzyzZM,1/1/2003,1/1/2021,background,nonurban,container,ŚWIĘTOKRZYSKIE,Święty Krzyż,,50.86225,21.053006,powiat kielecki
879,SkTrzciOsiek,PL0288A,Trzcianka,SkPolanTrzc,1/1/1997,9/9/2016,background,nonurban,dust collector,ŚWIĘTOKRZYSKIE,Trzcianka,Trzcianka 7,50.486298,21.394103,powiat staszowski
880,SlBedziBedz_kosci,,Będzin_kosci-WSSE,SlBedziBedz_kosci,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Będzin,ul. Kościuszki 58,-999,-999,
881,SlBielbBiel_broni,,BielskoB_broniew-WSSE,SlBielbBiel_broni,1/1/1992,12/31/2007,background,urban,container,ŚLĄSKIE,Bielsko-Biała,ul. Broniewskiego 21,-999,-999,Bielsko-Biała
882,SlBielbBiel_langi,,BielskoB_langiew-WIOŚ,SlBielbBiel_langi,1/1/1992,6/30/2004,background,urban,container,ŚLĄSKIE,Bielsko-Biała,ul. Langiewicza 28,-999,-999,Bielsko-Biała
883,SlBielKossak,PL0234A,"Bielsko-Biała, ul. Kossak-Szczuckiej",,1/1/2005,,background,urban,container,ŚLĄSKIE,Bielsko-Biała,ul. Kossak-Szczuckiej 19,49.813464,19.027318,Bielsko-Biała
884,SlBielPartyz,PL0705A,"Bielsko-Biała, ul.Partyzantów",,1/1/2018,,communication,urban,container,ŚLĄSKIE,Bielsko-Biała,ul. Partyzantów,49.802075,19.04861,Bielsko-Biała
885,SlBielSterni,PL0499A,"Bielsko-Biała, ul. Sternicza",,12/30/2009,,background,urban,container,ŚLĄSKIE,Bielsko-Biała,ul. Sternicza 4,49.806389,19.023194,Bielsko-Biała
886,SlBytomByto_modrz,PL0020A,Bytom_modrz-WIOŚ,SlBytomByto_modrz,1/1/1994,12/31/2010,background,urban,container,ŚLĄSKIE,Bytom,ul. Modrzewskiego 5,50.333333,18.896111,Bytom
887,SlBytomByto_parko,,Bytom_park-WSSE,SlBytomByto_parko,1/1/1992,12/31/2007,background,urban,NO DATA,ŚLĄSKIE,Bytom,ul. Parkowa 2,-999,-999,Bytom
888,SlChorzChor_bator,PL0235A,Chorzów_batory-WIOŚ,SlChorzChor_bator,1/1/2005,12/31/2010,communication,urban,container,ŚLĄSKIE,Chorzów,ul. Trasa A4 Dz.Batory,50.254167,18.936944,Chorzów
889,SlCiesChopin,PL0796A,"Cieszyn, ul. Chopina",,12/1/2020,,background,urban,container,ŚLĄSKIE,Cieszyn,ul. Chopina 37,49.755989,18.634075,powiat cieszyński
890,SlCiesMickie,PL0236A,"Cieszyn, ul. Mickiewicza 13",SlCieszCies_13mic,1/1/2005,12/31/2019,background,urban,container,ŚLĄSKIE,Cieszyn,ul. Mickiewicza 13,49.738136,18.639069,powiat cieszyński
891,SlCieszCies_dojaz,PL0289A,Cieszyn-dojazdowa-WSSE,SlCieszCies_dojaz,1/1/2005,12/31/2009,background,urban,container,ŚLĄSKIE,Cieszyn,ul. Dojazdowa 2,49.751667,18.6275,powiat cieszyński
892,SlCieszCies_rynek,,Cieszyn_rynek-WSSE,SlCieszCies_rynek,1/1/1992,3/31/2004,background,urban,container,ŚLĄSKIE,Cieszyn,ul. Górny Rynek 6,-999,-999,
893,SlCzerKopaln,PL0597A,"Czerwionka-Leszczyny, ul. Kopalniana",,12/22/2013,,background,urban,container,ŚLĄSKIE,Czerwionka-Leszczyny,ul. Kopalniana,50.16385,18.659977,powiat rybnicki
894,SlCzestCzes_arkra,PL0174A,Częstochowa_ak - WIOŚ,SlCzestCzes_arkra,1/1/1992,12/31/2009,communication,urban,container,ŚLĄSKIE,Częstochowa,ul. Armii Krajowej 2,50.817778,19.1175,Częstochowa
895,SlCzestCzes_biega,,Częstochowa_biegan-WSSE,SlCzestCzes_biega,1/1/1992,4/30/2004,background,urban,container,ŚLĄSKIE,Częstochowa,ul. Biegańskiego 45,-999,-999,Częstochowa
896,SlCzestCzes_boyaz,,Częstochowa_boya-WSSE,SlCzestCzes_boyaz,1/1/1992,12/31/2007,background,urban,container,ŚLĄSKIE,Częstochowa,ul. Boya Żeleńskiego 4a,-999,-999,Częstochowa
897,SlCzestCzes_rzasa,,Częstochowa_rząsawska-WIOŚ,SlCzestCzes_rzasa,1/1/2005,12/31/2005,background,urban,container,ŚLĄSKIE,Częstochowa,ul. Rząsawska 24/28,-999,-999,Częstochowa
898,SlCzestoArmK,PL0526A,"Częstochowa, ul. AK/Jana Pawła II",,1/1/2010,,communication,urban,container,ŚLĄSKIE,Częstochowa,ul. Armii Krajowej 2,50.817217,19.118997,Częstochowa
899,SlCzestoBacz,PL0184A,"Częstochowa, ul. Baczyńskiego",,1/1/1992,,background,urban,container,ŚLĄSKIE,Częstochowa,ul. Baczyńskiego 2,50.836389,19.130111,Częstochowa
900,SlCzestoZana,PL0498A,"Częstochowa, ul. Zana",,1/1/2010,,background,urban,container,ŚLĄSKIE,Częstochowa,ul. Zana 6,50.801918,19.106961,Częstochowa
901,SlDabro1000L,PL0237A,"Dąbrowa Górnicza, ul. Tysiąclecia 25a",SlDabroDabr_1000L,1/1/2005,,background,urban,container,ŚLĄSKIE,Dąbrowa Górnicza,ul. 1000-lecia 25 a,50.329111,19.231222,Dąbrowa Górnicza
902,SlDabroDabr_legio,,DąbrGór_leg-WSSE,SlDabroDabr_legio,1/1/1992,12/31/2003,background,urban,NO DATA,ŚLĄSKIE,Dąbrowa Górnicza,ul. Legionów Polskich 69,-999,-999,Dąbrowa Górnicza
903,SlDabroDabr_ziolo,,DąbGór_zioł-WIOŚ,SlDabroDabr_ziolo,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Dąbrowa Górnicza,ul. Ziołowa (Okradzionów),-999,-999,Dąbrowa Górnicza
904,SlDabroTysia,PL0237A,"Dąbrowa Górnicza, ul. Tysiąclecia",,1/1/2005,,background,urban,container,ŚLĄSKIE,Dąbrowa Górnicza,ul. Tysiąclecia 25 a,50.329111,19.231222,Dąbrowa Górnicza
905,SlGliwicMewy,PL0238A,"Gliwice, ul. Mewy",,1/1/2005,,background,urban,container,ŚLĄSKIE,Gliwice,ul. Mewy 34,50.279481,18.655736,Gliwice
906,SlGliwiGliw_kujaw,,Gliwice_kujaw-WIOŚ/WSSE,SlGliwiGliw_kujaw,1/1/1992,9/30/2004,background,urban,container,ŚLĄSKIE,Gliwice,ul. Kujawska,-999,-999,Gliwice
907,SlGoczaUzdroMOB,PL0742A,"Goczałkowice Zdrój, ul. Parkowa",,4/22/2019,,background,suburban,mobile,ŚLĄSKIE,Goczałkowice-Zdrój,ul. Parkowa,49.93785,18.975594,powiat pszczyński
908,SlGodGliniki,PL0527A,"Godów, ul. Gliniki",,9/7/2009,,background,nonurban,container,ŚLĄSKIE,Godów,ul. Gliniki,49.921875,18.471278,powiat wodzisławski
909,SlJastrJast_harce,PL0444A,Jastrzębie_harcer-WSSE,SlJastrJast_harce,1/1/1992,12/31/2009,background,urban,container,ŚLĄSKIE,Jastrzębie-Zdrój,ul. Harcerska 14b,49.952222,18.610278,Jastrzębie-Zdrój
910,SlJaworJawo_poczt,PL0445A,Jaworzno_pocztowa-WSSE,SlJaworJawo_poczt,1/1/2005,12/31/2009,background,urban,container,ŚLĄSKIE,Jaworzno,ul. Pocztowa 7,50.202222,19.277222,Jaworzno
911,SlKatoKossut,PL0008A,"Katowice, ul. Kossutha",,1/1/1992,,background,urban,container,ŚLĄSKIE,Katowice,ul. Kossutha 6,50.264611,18.975028,Katowice
912,SlKatoPlebA4,PL0567A,"Katowice, ul. Plebiscytowa/A4",,1/1/2011,,communication,urban,container,ŚLĄSKIE,Katowice,Al. Górnośląska,50.246795,19.019469,Katowice
913,SlKatowKato_racib,PL0022A,Katowice_raciborska-WSSE,SlKatowKato_racib,1/1/2005,12/31/2009,background,urban,container,ŚLĄSKIE,Katowice,ul. Raciborska 39,50.255278,19.004167,Katowice
914,SlKatowKato_weste,,Katowice_wester-WSSE,SlKatowKato_weste,1/1/1992,12/31/2007,background,urban,NO DATA,ŚLĄSKIE,Katowice,ul. Obrońców Westerplatte 51,-999,-999,Katowice
915,SlKlobuKlob_zamko,,Kłobuck_zamkowa-WSSE,SlKlobuKlob_zamko,1/1/1992,9/30/2003,background,urban,container,ŚLĄSKIE,Kłobuck,ul. Zamkowa 12,-999,-999,
916,SlKnurJedNar,PL0483A,"Knurów, ul. Jedności Narodowej",,4/29/2009,,background,urban,container,ŚLĄSKIE,Knurów,ul. Jedności Narodowej 5,50.233167,18.655722,powiat gliwicki
917,SlKuzniGliw_wiejs,,Kuźnia Nieb_gliwic-WIOŚ,SlKuzniGliw_wiejs,1/1/1992,12/31/2004,background,nonurban,container,ŚLĄSKIE,Kuźnia Nieborowicka,ul. Wiejska 12,-999,-999,powiat Gliwice
918,SlLubliLubl_dworc,,Lubliniec_dworcowa-WSSE,SlLubliLubl_dworc,1/1/1992,9/30/2003,background,urban,container,ŚLĄSKIE,Lubliniec,ul. Dworcowa 17,-999,-999,
919,SlLublPiasko,PL0290A,"Lubliniec, ul. Piaskowa",SlLubliLubl_piask,1/1/2005,12/31/2018,background,urban,container,ŚLĄSKIE,Lubliniec,ul. Piaskowa 56,50.658357,18.69622,powiat lubliniecki
920,SlLublSzymal,PL0707A,"Lubliniec, ul. ks. Szymały",,9/1/2018,,background,urban,container,ŚLĄSKIE,Lubliniec,ul. Ks. Płk. Jana Szymały 3,50.675693,18.682065,powiat lubliniecki
921,SlMiastMias_norwi,PL0447A,Miasteczko ŚL._norwida-WSSE,SlMiastMias_norwi,1/1/2005,12/31/2009,background,urban,container,ŚLĄSKIE,Miasteczko Śląskie,ul. Norwida,50.489722,18.918333,powiat tarnogórski
922,SlMiastMias_wycis,,Miasteczko Śl_wycislika-WSSE,SlMiastMias_wycis,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Miasteczko Śląskie,ul. Wyciślika 52,-999,-999,
923,SlMiastMias_zygli,,Miasteczko Śl._Zyglinek-WSSE,SlMiastMias_zygli,1/1/2005,12/31/2006,background,urban,container,ŚLĄSKIE,Miasteczko Śląskie,ul. Żyglinek,-999,-999,powiat Tarnog�rski.
924,SlMyszkMysz_straz,,Myszków_strazacka-WSSE,SlMyszkMysz_straz,1/1/1992,9/30/2003,background,urban,container,ŚLĄSKIE,Myszków,ul. Strażacka 45,-999,-999,
925,SlMyszMiedzi,PL0484A,"Myszków, ul. Miedziana",,1/1/2008,,background,urban,container,ŚLĄSKIE,Myszków,ul. Miedziana 3,50.579733,19.3267,powiat myszkowski
926,SlPiekaPiek_darwi,,PiekaryŚl-darw-WIOŚ,SlPiekaPiek_darwi,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Piekary Śląskie,ul. Darwina,-999,-999,Piekary Śląskie
927,SlPiekaPiek_party,,PiekaryŚl_part-WSSE,SlPiekaPiek_party,1/1/1992,12/31/2006,background,urban,NO DATA,ŚLĄSKIE,Piekary Śląskie,ul. Partyzantów,-999,-999,Piekary Śląskie
928,SlPszczBoged,PL0528A,"Pszczyna, ul. Bogedaina",,12/30/2009,,background,urban,container,ŚLĄSKIE,Pszczyna,ul. Bogedaina,49.972177,18.947218,powiat pszczyński
929,SlRaciborzWPMOB,PL0759A,"Racibórz, Wojska Polskiego",,6/1/2019,,background,urban,mobile,ŚLĄSKIE,Racibórz,ul. Wojska Polskiego 8,50.091142,18.216261,powiat raciborski
930,SlRacibRaci_boruc,,Racibórz_borucin-WSSE,SlRacibRaci_boruc,1/1/2005,12/31/2007,background,urban,container,ŚLĄSKIE,Borucin,St.Uzd.Wody,-999,-999,
931,SlRacibRaci_studz,PL0291A,Racibórz_studzienna-WIOŚ,SlRacibRaci_studz,1/1/2005,12/31/2010,background,urban,container,ŚLĄSKIE,Racibórz,ul. Studzienna St. IMGW,50.060833,18.191111,powiat raciborski
932,SlRacibRaci_towar,,Racibórz_towarzy-WSSE,SlRacibRaci_towar,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Racibórz,"ul. Tow.Gimnastycznego""Sokół""",-999,-999,
933,SlRudasRuda_1maja,,RudaŚl_1maja_WIOŚ,SlRudasRuda_1maja,1/1/1992,12/31/2013,background,urban,NO DATA,ŚLĄSKIE,Ruda Śląska,ul. 1 Maja 318,50.271944,18.863056,Ruda Śląska
934,SlRybniBorki,PL0239A,"Rybnik, ul. Borki",,1/1/2005,,background,urban,container,ŚLĄSKIE,Rybnik,ul. Borki 37 d,50.111181,18.516139,Rybnik
935,SlRybniRybn_janie,,Rybnik_janie-WSSE,SlRybniRybn_janie,1/1/1992,6/30/2004,background,urban,container,ŚLĄSKIE,Rybnik,ul. Kpt. Janiego (Wawok),-999,-999,Rybnik
936,SlRybniRybn_szafr,PL0448A,Rybnik_szafr-WSSE,SlRybniRybn_szafr,1/1/1992,12/31/2009,background,urban,container,ŚLĄSKIE,Rybnik,ul. Szafranka 7,50.095556,18.5475,Rybnik
937,SlSosnoLubel,PL0529A,"Sosnowiec, ul. Lubelska",,4/1/2010,,background,urban,container,ŚLĄSKIE,Sosnowiec,ul. Lubelska 51,50.285956,19.184399,Sosnowiec
938,SlSosnoSosn_narut,PL0041A,Sosnowiec_narut-WIOŚ/WSSE,SlSosnoSosn_narut,1/1/1992,2/29/2008,background,urban,container,ŚLĄSKIE,Sosnowiec,ul. Narutowicza,50.273889,19.146956,Sosnowiec
939,SlTarnoLitew,PL0530A,"Tarnowskie Góry, ul. Litewska",,1/1/2010,,background,urban,container,ŚLĄSKIE,Tarnowskie Góry,ul. Litewska 6,50.444736,18.829639,powiat tarnogórski
940,SlTychyTolst,PL0240A,"Tychy, ul. Tołstoja",,1/1/2005,,background,urban,container,ŚLĄSKIE,Tychy,ul. Tołstoja 1,50.099903,18.990236,Tychy
941,SlUstroCies_sanat,PL0029A,Ustroń_sanat-WIOŚ,SlUstroCies_sanat,3/1/1996,12/31/2009,background,urban,in-house,ŚLĄSKIE,Ustroń,ul. Sanatoryjna 1,49.724722,18.825,powiat cieszyński
942,SlUstronSana,PL0568A,"Ustroń, ul. Sanatoryjna",,1/1/2012,,background,suburban,container,ŚLĄSKIE,Ustroń,ul. Sanatoryjna 7,49.719731,18.826722,powiat cieszyński
943,SlWodzGalczy,PL0241A,"Wodzisław Śląski, ul. Gałczyńskiego",,1/1/2005,,background,urban,container,ŚLĄSKIE,Wodzisław Śląski,ul. Gałczyńskiego 1,50.007629,18.455548,powiat wodzisławski
944,SlWodziWodz_bogum,PL0292A,Wodzisław_boguminska-WSSE,SlWodziWodz_bogum,1/1/1992,12/31/2009,background,urban,container,ŚLĄSKIE,Wodzisław Śląski,ul. Bogumińska 3,50.000556,18.458333,powiat wodzisławski
945,SlWojkoBedz_pader,,Wojkowice_pader-WIOŚ,SlWojkoBedz_pader,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Wojkowice,ul. Paderewskiego 88,-999,-999,
946,SlZabrzZabr_3maja,,Zabrze_3maja-WSSE,SlZabrzZabr_3maja,1/1/1992,12/31/2007,background,urban,NO DATA,ŚLĄSKIE,Zabrze,ul. 3 Maja 64,-999,-999,Zabrze
947,SlZabrzZabr_wolno,,Zabrze_wolno-WIOS,SlZabrzZabr_wolno,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Zabrze,ul. Wolności,-999,-999,Zabrze
948,SlZabSkloCur,PL0242A,"Zabrze, ul. M. Curie-Skłodowskiej",,1/1/2001,,background,urban,container,ŚLĄSKIE,Zabrze,ul. M. Skłodowskiej-Curie 34,50.3165,18.772375,Zabrze
949,SlZawGalczyn,PL0746A,"Zawiercie, ul. K.I.Gałczyńskiego",,8/12/2019,,background,urban,container,ŚLĄSKIE,Zawiercie,ul. K.I.Gałczyńskiego 3,50.493045,19.439012,powiat zawierciański
950,SlZawieZawi_listo,,Zawiercie-11listop-WSSE,SlZawieZawi_listo,1/1/1992,12/31/2004,background,urban,container,ŚLĄSKIE,Zawiercie,ul. 11 Listopada 15,-999,-999,
951,SlZawieZawi_pilsu,,Zawiercie_piłsuds-WSSE,SlZawieZawi_pilsu,1/1/1992,12/31/2007,background,urban,container,ŚLĄSKIE,Zawiercie,ul. Piłsudskiego 47,-999,-999,powiat zawiercia?ski 
952,SlZawSkloCur,PL0293A,"Zawiercie, ul. M. Skłodowskiej-Curie 16",SlZawieZawi_zawie,7/1/2006,12/31/2018,background,urban,container,ŚLĄSKIE,Zawiercie,ul. Skłodowskiej-Curie 16,50.47954,19.43301,powiat zawierciański
953,SlZlotPotLes,PL0243A,"Złoty Potok, Leśniczówka",,1/1/2005,,background,nonurban,container,ŚLĄSKIE,Złoty Potok,Leśniczówka Kamienna Góra,50.710889,19.458797,powiat częstochowski
954,SlZorymZory_wojsk,PL0449A,Żory_wojska-WSSE,SlZorymZory_wojsk,1/1/2005,12/31/2009,background,urban,container,ŚLĄSKIE,Żory,ul. Wojska Polskiego 25,50.045278,18.684444,Żory
955,SlZorySikor2,PL0684A,"Żory, Os. Gen. Władysława Sikorskiego",,1/1/2017,,background,urban,container,ŚLĄSKIE,Żory,ul. Sikorskiego 52,50.029416,18.689527,Żory
956,SlZorySikors,PL0489A,"Żory, Os. Gen. Władysława Sikorskiego 52",SlZoryzZory_sikor,8/19/2008,12/31/2016,background,urban,container,ŚLĄSKIE,Żory,ul. Sikorskiego 52,50.028681,18.691222,Żory
957,SlZywieKoper,PL0294A,"Żywiec, ul. Kopernika",,1/1/2005,,background,urban,container,ŚLĄSKIE,Żywiec,ul. Kopernika 83 a,49.671602,19.234446,powiat żywiecki
958,SlZywieSlowa,PL0450A,"Żywiec, ul.Słowackiego 2",SlZywieZywi_slowa,1/1/2005,12/31/2014,background,urban,container,ŚLĄSKIE,Żywiec,ul. Słowackiego 2,49.687897,19.205877,powiat żywiecki
959,SlZywieZywi_krasi,,Żywiec_krasin-WSSE,SlZywieZywi_krasi,1/1/1992,3/31/2004,background,urban,container,ŚLĄSKIE,Żywiec,ul. Krasińskiego 3,-999,-999,
960,WmBartoWSSE_Boh_War,PL0451A,Bartoszyce-PSSE,WmBartoWSSE_Boh_War,1/3/2003,12/31/2009,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Bartoszyce,ul. Bohaterów Warszawy,54.252222,20.810278,powiat bartoszycki
961,WmBiskupMickMOB,PL0755A,WIOŚ Biskupiec-Mobilna,,1/1/2020,12/31/2021,background,urban,mobile,WARMIŃSKO-MAZURSKIE,Biskupiec,Mickiewicza 8,53.860702,20.957892,powiat olsztyński
962,WmDzialdWSSE_Biedraw,PL0452A,Dzialdowo-PSSE,WmDzialdWSSE_Biedraw,1/3/2003,12/31/2009,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Działdowo,pl. Biedrawy,53.232778,20.177778,powiat działdowski
963,WmElbBazynsk,PL0295A,"Elbląg, ul. Bażyńskiego",,6/15/2005,,background,urban,container,WARMIŃSKO-MAZURSKIE,Elbląg,ul. Bażyńskiego 6,54.167847,19.410942,Elbląg
964,WmElblagWSSE_Hetma,PL0453A,Elblag - GSSE - Hetmanska,WmElblagWSSE_Hetma,1/1/2003,12/31/2009,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Elbląg,ul. Hetmanska,54.185278,19.405556,Elbląg
965,WmElblagWSSE_Kalen,PL0454A,Elblag - GSSE - Kalenkiewicza,WmElblagWSSE_Kalen,1/1/2003,12/31/2009,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Elbląg,ul. Kalenkiewicza,54.154722,19.406944,Elbląg
966,WmElblagWSSE_Krole,PL0455A,Elblag - GSSE - Królewiecka,WmElblagWSSE_Krole,1/1/2004,12/31/2009,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Elbląg,ul. Królewiecka,54.179167,19.430556,Elbląg
967,WmElblagWSSE_Zajchow,PL0456A,Elblag - GSSE - Zajchowskiego,WmElblagWSSE_Zajchow,1/1/2003,12/31/2009,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Elbląg,ul. Zajchowskiego,54.164722,19.415833,Elbląg
968,WmElk_WSSE_Toru,PL0457A,Elk-PSSE-Torunska,WmElk_WSSE_Toru,1/3/2003,12/31/2009,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Ełk,ul. Toruńska 6A/1,53.831389,22.350278,powiat ełcki
969,WmElkStadion,PL0681A,"Ełk, ul. Piłsudskiego",,1/1/2017,,background,urban,container,WARMIŃSKO-MAZURSKIE,Ełk,ul. Piłsudskiego 27,53.828389,22.348338,powiat ełcki
970,WmElkWIOS_PM10,,Ełk - ul. Toruńska - WIOŚ PM10,WmElkWIOS_PM10,3/1/2005,2/29/2008,background,urban,in-house,WARMIŃSKO-MAZURSKIE,Ełk,ul. Toruńska 8 A,53.831389,22.350278,powiat ełcki
